card,set,art_type,printing,price_usd,listing_title,source_page,source_url,verification,captured_date
Anvil,Into the Accordlands,Standard,,1.5,Anvil [Into the Accordlands],3,https://gamersguildazcards.com/collections/warlord-tcg-singles?page=3,Direct collection listing,2026-08-01
Ar'tek,Box of Greed,Standard,,0.75,Ar'tek [Box of Greed],19,https://gamersguildazcards.com/collections/warlord-tcg-singles?page=19,Direct collection listing,2026-08-01
Arcane Approach,Into the Accordlands,Standard,,0.75,Arcane Approach [Into the Accordlands],5,https://gamersguildazcards.com/collections/warlord-tcg-singles?page=5,Direct collection listing,2026-08-01
Archivist Augustin,Into the Accordlands,Standard,,0.75,Archivist Augustin [Into the Accordlands],13,https://gamersguildazcards.com/collections/warlord-tcg-singles?page=13,Direct collection listing,2026-08-01
Archivist Myrina,Into the Accordlands,Standard,,0.35,Archivist Myrina [Into the Accordlands],22,https://gamersguildazcards.com/collections/warlord-tcg-singles?page=22,Direct collection listing,2026-08-01
Archivist's Journal,Into the Accordlands,Standard,,0.35,Archivist's Journal [Into the Accordlands],13,https://gamersguildazcards.com/collections/warlord-tcg-singles?page=13,Direct collection listing,2026-08-01
Ardent Griffon,Into the Accordlands,Standard,,0.35,Ardent Griffon [Into the Accordlands],14,https://gamersguildazcards.com/collections/warlord-tcg-singles?page=14,Direct collection listing,2026-08-01
Ardian Greathawk,Into the Accordlands,Standard,,4.0,Ardian Greathawk [Into the Accordlands],1,https://gamersguildazcards.com/collections/warlord-tcg-singles?page=1,Direct collection listing,2026-08-01
Arika Ketchum,Into the Accordlands,Standard,,0.35,Arika Ketchum [Into the Accordlands],13,https://gamersguildazcards.com/collections/warlord-tcg-singles?page=13,Direct collection listing,2026-08-01
Aroch Mail,Into the Accordlands,Standard,,1.5,Aroch Mail [Into the Accordlands],3,https://gamersguildazcards.com/collections/warlord-tcg-singles?page=3,Direct collection listing,2026-08-01
Arva of Reclusa,Into the Accordlands,Standard,,0.75,Arva of Reclusa [Into the Accordlands],7,https://gamersguildazcards.com/collections/warlord-tcg-singles?page=7,Direct collection listing,2026-08-01
Ashveil,Into the Accordlands,Extended,,2.03,Ashveil (Extended Art) [Into the Accordlands],8,https://gamersguildazcards.com/collections/warlord-tcg-singles?page=8,Direct collection listing,2026-08-01
Ashveil,Into the Accordlands,Standard,,1.5,Ashveil [Into the Accordlands],3,https://gamersguildazcards.com/collections/warlord-tcg-singles?page=3,Direct collection listing,2026-08-01
Assassin's Arrow,Box of Greed,Standard,,0.5,Assassin's Arrow [Box of Greed],5,https://gamersguildazcards.com/collections/warlord-tcg-singles?page=5,Direct collection listing,2026-08-01
Assassin's Strike,Into the Accordlands,Standard,,0.75,Assassin's Strike [Into the Accordlands],2,https://gamersguildazcards.com/collections/warlord-tcg-singles?page=2,Direct collection listing,2026-08-01
Aureliane,Into the Accordlands,Standard,,0.35,Aureliane [Into the Accordlands],15,https://gamersguildazcards.com/collections/warlord-tcg-singles?page=15,Direct collection listing,2026-08-01
Back Alley Tavern,Box of Greed,Standard,,0.35,Back Alley Tavern [Box of Greed],6,https://gamersguildazcards.com/collections/warlord-tcg-singles?page=6,Direct collection listing,2026-08-01
Balian,Into the Accordlands,Standard,,0.35,Balian [Into the Accordlands],19,https://gamersguildazcards.com/collections/warlord-tcg-singles?page=19,Direct collection listing,2026-08-01
Balian's Helm,Into the Accordlands,Standard,,0.35,Balian's Helm [Into the Accordlands],16,https://gamersguildazcards.com/collections/warlord-tcg-singles?page=16,Direct collection listing,2026-08-01
Bandit Mask,Into the Accordlands,Standard,,0.35,Bandit Mask [Into the Accordlands],19,https://gamersguildazcards.com/collections/warlord-tcg-singles?page=19,Direct collection listing,2026-08-01
Bardiche,Into the Accordlands,Standard,,0.35,Bardiche [Into the Accordlands],14,https://gamersguildazcards.com/collections/warlord-tcg-singles?page=14,Direct collection listing,2026-08-01
Battleworn Helm,Into the Accordlands,Standard,,0.35,Battleworn Helm [Into the Accordlands],20,https://gamersguildazcards.com/collections/warlord-tcg-singles?page=20,Direct collection listing,2026-08-01
Beacon,Into the Accordlands,Standard,,20.0,Beacon [Into the Accordlands],2,https://gamersguildazcards.com/collections/warlord-tcg-singles?page=2,Direct collection listing,2026-08-01
Bear Legion Recruit,Into the Accordlands,Standard,,0.35,Bear Legion Recruit [Into the Accordlands],10,https://gamersguildazcards.com/collections/warlord-tcg-singles?page=10,Direct collection listing,2026-08-01
Beradah Dythanus,Box of Greed,Standard,,0.75,Beradah Dythanus [Box of Greed],12,https://gamersguildazcards.com/collections/warlord-tcg-singles?page=12,Direct collection listing,2026-08-01
Berserk,Into the Accordlands,Standard,,0.75,Berserk [Into the Accordlands],11,https://gamersguildazcards.com/collections/warlord-tcg-singles?page=11,Direct collection listing,2026-08-01
Biana the Mystical,Box of Greed,Extended,,0.35,Biana the Mystical (Extended Art) [Box of Greed],21,https://gamersguildazcards.com/collections/warlord-tcg-singles?page=21,Direct collection listing,2026-08-01
Bikram Bullstrength,Into the Accordlands,Standard,,7.0,Bikram Bullstrength [Into the Accordlands],1,https://gamersguildazcards.com/collections/warlord-tcg-singles?page=1,Direct collection listing,2026-08-01
Birdsong Druid,Into the Accordlands,Standard,,0.35,Birdsong Druid [Into the Accordlands],8,https://gamersguildazcards.com/collections/warlord-tcg-singles?page=8,Direct collection listing,2026-08-01
Black Steel Dagger,Box of Greed,Standard,,1.0,Black Steel Dagger [Box of Greed],6,https://gamersguildazcards.com/collections/warlord-tcg-singles?page=6,Direct collection listing,2026-08-01
Blackoak Arrows,Into the Accordlands,Standard,,0.35,Blackoak Arrows [Into the Accordlands],18,https://gamersguildazcards.com/collections/warlord-tcg-singles?page=18,Direct collection listing,2026-08-01
Blackwind,Into the Accordlands,Standard,,1.5,Blackwind [Into the Accordlands],5,https://gamersguildazcards.com/collections/warlord-tcg-singles?page=5,Direct collection listing,2026-08-01
Blade of Antiquity,Into the Accordlands,Extended,,10.0,Blade of Antiquity (Extended Art) [Into the Accordlands],5,https://gamersguildazcards.com/collections/warlord-tcg-singles?page=5,Direct collection listing,2026-08-01
Blade of Antiquity,Into the Accordlands,Standard,,10.0,Blade of Antiquity [Into the Accordlands],3,https://gamersguildazcards.com/collections/warlord-tcg-singles?page=3,Direct collection listing,2026-08-01
Blast,Into the Accordlands,Standard,,0.35,Blast [Into the Accordlands],9,https://gamersguildazcards.com/collections/warlord-tcg-singles?page=9,Direct collection listing,2026-08-01
Blessed Vestments,Into the Accordlands,Extended,,0.75,Blessed Vestments (Extended Art) [Into the Accordlands],9,https://gamersguildazcards.com/collections/warlord-tcg-singles?page=9,Direct collection listing,2026-08-01
Blessed Vestments,Into the Accordlands,Standard,,0.75,Blessed Vestments [Into the Accordlands],16,https://gamersguildazcards.com/collections/warlord-tcg-singles?page=16,Direct collection listing,2026-08-01
Blitzer,Into the Accordlands,Standard,,1.5,Blitzer [Into the Accordlands],1,https://gamersguildazcards.com/collections/warlord-tcg-singles?page=1,Direct collection listing,2026-08-01
Bloodsteed,Into the Accordlands,Extended,,0.75,Bloodsteed (Extended Art) [Into the Accordlands],6,https://gamersguildazcards.com/collections/warlord-tcg-singles?page=6,Direct collection listing,2026-08-01
Bloodsteed,Into the Accordlands,Standard,,0.75,Bloodsteed [Into the Accordlands],17,https://gamersguildazcards.com/collections/warlord-tcg-singles?page=17,Direct collection listing,2026-08-01
Bolt of Unrest,Into the Accordlands,Extended,,1.5,Bolt of Unrest (Extended Art) [Into the Accordlands],8,https://gamersguildazcards.com/collections/warlord-tcg-singles?page=8,Direct collection listing,2026-08-01
Bolt of Unrest,Into the Accordlands,Standard,,1.5,Bolt of Unrest [Into the Accordlands],18,https://gamersguildazcards.com/collections/warlord-tcg-singles?page=18,Direct collection listing,2026-08-01
Bone Fiend,Into the Accordlands,Standard,,1.5,Bone Fiend [Into the Accordlands],3,https://gamersguildazcards.com/collections/warlord-tcg-singles?page=3,Direct collection listing,2026-08-01
Bosun Blacknose,Box of Greed,Standard,,0.35,Bosun Blacknose [Box of Greed],15,https://gamersguildazcards.com/collections/warlord-tcg-singles?page=15,Direct collection listing,2026-08-01
Breastplate,Into the Accordlands,Standard,,0.35,Breastplate [Into the Accordlands],18,https://gamersguildazcards.com/collections/warlord-tcg-singles?page=18,Direct collection listing,2026-08-01
Breastplate of Power,Into the Accordlands,Standard,,1.5,Breastplate of Power [Into the Accordlands],1,https://gamersguildazcards.com/collections/warlord-tcg-singles?page=1,Direct collection listing,2026-08-01
Brigand Buckler,Into the Accordlands,Standard,,0.35,Brigand Buckler [Into the Accordlands],17,https://gamersguildazcards.com/collections/warlord-tcg-singles?page=17,Direct collection listing,2026-08-01
Brightwing,Into the Accordlands,Extended,,1.65,Brightwing (Extended Art) [Into the Accordlands],4,https://gamersguildazcards.com/collections/warlord-tcg-singles?page=4,Direct collection listing,2026-08-01
Brightwing,Into the Accordlands,Standard,,1.5,Brightwing [Into the Accordlands],3,https://gamersguildazcards.com/collections/warlord-tcg-singles?page=3,Direct collection listing,2026-08-01
Brine Fiend,Into the Accordlands,Standard,,0.35,Brine Fiend [Into the Accordlands],11,https://gamersguildazcards.com/collections/warlord-tcg-singles?page=11,Direct collection listing,2026-08-01
Brine Fiend,Into the Accordlands,Standard,ITA-P02,3.29,Brine Fiend [Into the Accordlands],23 (reconciled),https://gamersguildazcards.com/collections/warlord-tcg-singles?page=23,Catalog-reconciled; price inferred from promo batch,2026-08-01
Brinewater Croc,Into the Accordlands,Extended,ITA-P08,6.56,Brinewater Croc (Extended Art) [Into the Accordlands],23 (reconciled),https://gamersguildazcards.com/products/brinewater-croc-ita-p08,Direct indexed product listing,2026-08-01
Brinewater Croc,Into the Accordlands,Standard,,0.75,Brinewater Croc [Into the Accordlands],4,https://gamersguildazcards.com/collections/warlord-tcg-singles?page=4,Direct collection listing,2026-08-01
Bruntor's Helm,Into the Accordlands,Standard,,0.75,Bruntor's Helm [Into the Accordlands],4,https://gamersguildazcards.com/collections/warlord-tcg-singles?page=4,Direct collection listing,2026-08-01
Burning Scroll,Into the Accordlands,Standard,,0.35,Burning Scroll [Into the Accordlands],13,https://gamersguildazcards.com/collections/warlord-tcg-singles?page=13,Direct collection listing,2026-08-01
Callow Rowan,Into the Accordlands,Standard,,1.5,Callow Rowan [Into the Accordlands],2,https://gamersguildazcards.com/collections/warlord-tcg-singles?page=2,Direct collection listing,2026-08-01
Cardinal Bromin,Box of Greed,Standard,,0.5,Cardinal Bromin [Box of Greed],6,https://gamersguildazcards.com/collections/warlord-tcg-singles?page=6,Direct collection listing,2026-08-01
Catapult Crew,Into the Accordlands,Standard,,0.35,Catapult Crew [Into the Accordlands],17,https://gamersguildazcards.com/collections/warlord-tcg-singles?page=17,Direct collection listing,2026-08-01
Cathel Rowan,Box of Greed,Standard,,0.35,Cathel Rowan [Box of Greed],21,https://gamersguildazcards.com/collections/warlord-tcg-singles?page=21,Direct collection listing,2026-08-01
Change of Hands,Into the Accordlands,Standard,,0.75,Change of Hands [Into the Accordlands],12,https://gamersguildazcards.com/collections/warlord-tcg-singles?page=12,Direct collection listing,2026-08-01
Chant,Into the Accordlands,Extended,ITA-P05,6.56,Chant (Extended Art) [Into the Accordlands],23 (reconciled),https://gamersguildazcards.com/products/chant-ita-p05,Direct indexed product listing,2026-08-01
Chant,Into the Accordlands,Standard,,0.35,Chant [Into the Accordlands],13,https://gamersguildazcards.com/collections/warlord-tcg-singles?page=13,Direct collection listing,2026-08-01
Charm Person,Into the Accordlands,Standard,,0.35,Charm Person [Into the Accordlands],14,https://gamersguildazcards.com/collections/warlord-tcg-singles?page=14,Direct collection listing,2026-08-01
Cheap Sword,Into the Accordlands,Standard,,0.35,Cheap Sword [Into the Accordlands],15,https://gamersguildazcards.com/collections/warlord-tcg-singles?page=15,Direct collection listing,2026-08-01
Choke,Into the Accordlands,Standard,,0.35,Choke [Into the Accordlands],22,https://gamersguildazcards.com/collections/warlord-tcg-singles?page=22,Direct collection listing,2026-08-01
Chovan Voidcaller,Into the Accordlands,Extended,,0.75,Chovan Voidcaller (Extended Art) [Into the Accordlands],8,https://gamersguildazcards.com/collections/warlord-tcg-singles?page=8,Direct collection listing,2026-08-01
Chovan Voidcaller,Into the Accordlands,Standard,,0.75,Chovan Voidcaller [Into the Accordlands],19,https://gamersguildazcards.com/collections/warlord-tcg-singles?page=19,Direct collection listing,2026-08-01
Church Enforcer Tancred,Into the Accordlands,Extended,,2.0,Church Enforcer Tancred (Extended Art) [Into the Accordlands],21,https://gamersguildazcards.com/collections/warlord-tcg-singles?page=21,Direct collection listing,2026-08-01
Church Enforcer Tancred,Into the Accordlands,Standard,,1.5,Church Enforcer Tancred [Into the Accordlands],14,https://gamersguildazcards.com/collections/warlord-tcg-singles?page=14,Direct collection listing,2026-08-01
Church Inquisitor,Into the Accordlands,Standard,,0.35,Church Inquisitor [Into the Accordlands],11,https://gamersguildazcards.com/collections/warlord-tcg-singles?page=11,Direct collection listing,2026-08-01
Ciane,Into the Accordlands,Standard,,0.35,Ciane [Into the Accordlands],12,https://gamersguildazcards.com/collections/warlord-tcg-singles?page=12,Direct collection listing,2026-08-01
Cleave,Into the Accordlands,Standard,,0.75,Cleave [Into the Accordlands],9,https://gamersguildazcards.com/collections/warlord-tcg-singles?page=9,Direct collection listing,2026-08-01
Cloak of Brilliance,Into the Accordlands,Standard,,0.75,Cloak of Brilliance [Into the Accordlands],10,https://gamersguildazcards.com/collections/warlord-tcg-singles?page=10,Direct collection listing,2026-08-01
Cloak of Flight,Into the Accordlands,Standard,,0.75,Cloak of Flight [Into the Accordlands],10,https://gamersguildazcards.com/collections/warlord-tcg-singles?page=10,Direct collection listing,2026-08-01
Close Wounds,Into the Accordlands,Standard,,0.35,Close Wounds [Into the Accordlands],18,https://gamersguildazcards.com/collections/warlord-tcg-singles?page=18,Direct collection listing,2026-08-01
Cloudracer,Into the Accordlands,Extended,,1.35,Cloudracer (Extended Art) [Into the Accordlands],7,https://gamersguildazcards.com/collections/warlord-tcg-singles?page=7,Direct collection listing,2026-08-01
Cloudracer,Into the Accordlands,Standard,,0.75,Cloudracer [Into the Accordlands],13,https://gamersguildazcards.com/collections/warlord-tcg-singles?page=13,Direct collection listing,2026-08-01
Commander Retsov,Into the Accordlands,Extended,,10.0,Commander Retsov (Extended Art) [Into the Accordlands],12,https://gamersguildazcards.com/collections/warlord-tcg-singles?page=12,Direct collection listing,2026-08-01
Commander Retsov,Into the Accordlands,Standard,,10.0,Commander Retsov [Into the Accordlands],8,https://gamersguildazcards.com/collections/warlord-tcg-singles?page=8,Direct collection listing,2026-08-01
Conjure Storm,Box of Greed,Standard,,0.35,Conjure Storm [Box of Greed],5,https://gamersguildazcards.com/collections/warlord-tcg-singles?page=5,Direct collection listing,2026-08-01
Corinne Drac,Box of Greed,Standard,,0.35,Corinne Drac [Box of Greed],8,https://gamersguildazcards.com/collections/warlord-tcg-singles?page=8,Direct collection listing,2026-08-01
Corpse Crowd,Into the Accordlands,Extended,ITA-P06,6.56,Corpse Crowd (Extended Art) [Into the Accordlands],23 (reconciled),https://gamersguildazcards.com/products/corpse-crowd-ita-p06,Direct indexed product listing,2026-08-01
Corpse Crowd,Into the Accordlands,Standard,,0.35,Corpse Crowd [Into the Accordlands],4,https://gamersguildazcards.com/collections/warlord-tcg-singles?page=4,Direct collection listing,2026-08-01
Courage from Faith,Into the Accordlands,Standard,,0.35,Courage from Faith [Into the Accordlands],20,https://gamersguildazcards.com/collections/warlord-tcg-singles?page=20,Direct collection listing,2026-08-01
Coward,Into the Accordlands,Standard,,0.35,Coward [Into the Accordlands],22,https://gamersguildazcards.com/collections/warlord-tcg-singles?page=22,Direct collection listing,2026-08-01
Crimson Diadem,Into the Accordlands,Standard,,1.5,Crimson Diadem [Into the Accordlands],7,https://gamersguildazcards.com/collections/warlord-tcg-singles?page=7,Direct collection listing,2026-08-01
Crownland Strategist,Into the Accordlands,Extended,,0.75,Crownland Strategist (Extended Art) [Into the Accordlands],4,https://gamersguildazcards.com/collections/warlord-tcg-singles?page=4,Direct collection listing,2026-08-01
Crownland Strategist,Into the Accordlands,Standard,,0.75,Crownland Strategist [Into the Accordlands],12,https://gamersguildazcards.com/collections/warlord-tcg-singles?page=12,Direct collection listing,2026-08-01
Crush,Into the Accordlands,Standard,,0.35,Crush [Into the Accordlands],9,https://gamersguildazcards.com/collections/warlord-tcg-singles?page=9,Direct collection listing,2026-08-01
Crypt Wine,Into the Accordlands,Standard,,0.35,Crypt Wine [Into the Accordlands],10,https://gamersguildazcards.com/collections/warlord-tcg-singles?page=10,Direct collection listing,2026-08-01
Cumbersome Helm,Into the Accordlands,Standard,,0.35,Cumbersome Helm [Into the Accordlands],19,https://gamersguildazcards.com/collections/warlord-tcg-singles?page=19,Direct collection listing,2026-08-01
Cunning Shot,Into the Accordlands,Standard,,0.75,Cunning Shot [Into the Accordlands],12,https://gamersguildazcards.com/collections/warlord-tcg-singles?page=12,Direct collection listing,2026-08-01
Curse of Greed,Into the Accordlands,Extended,ITA-P39,6.56,Curse of Greed (Extended Art) [Into the Accordlands],22,https://gamersguildazcards.com/collections/warlord-tcg-singles?page=22,Direct collection listing,2026-08-01
Curse of Greed,Into the Accordlands,Standard,,1.5,Curse of Greed [Into the Accordlands],3,https://gamersguildazcards.com/collections/warlord-tcg-singles?page=3,Direct collection listing,2026-08-01
Cutlass,Into the Accordlands,Standard,,1.5,Cutlass [Into the Accordlands],2,https://gamersguildazcards.com/collections/warlord-tcg-singles?page=2,Direct collection listing,2026-08-01
Cyldragen's Tome,Into the Accordlands,Standard,,12.0,Cyldragen's Tome [Into the Accordlands],1,https://gamersguildazcards.com/collections/warlord-tcg-singles?page=1,Direct collection listing,2026-08-01
Darkflame Bolts,Into the Accordlands,Standard,,0.35,Darkflame Bolts [Into the Accordlands],11,https://gamersguildazcards.com/collections/warlord-tcg-singles?page=11,Direct collection listing,2026-08-01
Darkwatcher,Into the Accordlands,Extended,,1.83,Darkwatcher (Extended Art) [Into the Accordlands],4,https://gamersguildazcards.com/collections/warlord-tcg-singles?page=4,Direct collection listing,2026-08-01
Darkwatcher,Into the Accordlands,Standard,,1.5,Darkwatcher [Into the Accordlands],3,https://gamersguildazcards.com/collections/warlord-tcg-singles?page=3,Direct collection listing,2026-08-01
Death From Below,Into the Accordlands,Standard,,0.75,Death From Below [Into the Accordlands],12,https://gamersguildazcards.com/collections/warlord-tcg-singles?page=12,Direct collection listing,2026-08-01
Demon of Kvar,Box of Greed,Standard,,0.35,Demon of Kvar [Box of Greed],13,https://gamersguildazcards.com/collections/warlord-tcg-singles?page=13,Direct collection listing,2026-08-01
Destruction,Box of Greed,Standard,,0.35,Destruction [Box of Greed],12,https://gamersguildazcards.com/collections/warlord-tcg-singles?page=12,Direct collection listing,2026-08-01
Deverenus' Axe,Into the Accordlands,Standard,,80.0,Deverenus' Axe [Into the Accordlands],2,https://gamersguildazcards.com/collections/warlord-tcg-singles?page=2,Direct collection listing,2026-08-01
Disperse,Into the Accordlands,Standard,,0.75,Disperse [Into the Accordlands],10,https://gamersguildazcards.com/collections/warlord-tcg-singles?page=10,Direct collection listing,2026-08-01
Dissolve,Into the Accordlands,Extended,ITA-P13,6.56,Dissolve (Extended Art) [Into the Accordlands],22,https://gamersguildazcards.com/collections/warlord-tcg-singles?page=22,Direct collection listing,2026-08-01
Dissolve,Into the Accordlands,Standard,,0.75,Dissolve [Into the Accordlands],13,https://gamersguildazcards.com/collections/warlord-tcg-singles?page=13,Direct collection listing,2026-08-01
Divine Barrier,Into the Accordlands,Standard,,0.35,Divine Barrier [Into the Accordlands],11,https://gamersguildazcards.com/collections/warlord-tcg-singles?page=11,Direct collection listing,2026-08-01
Divine Respite,Into the Accordlands,Standard,,1.5,Divine Respite [Into the Accordlands],1,https://gamersguildazcards.com/collections/warlord-tcg-singles?page=1,Direct collection listing,2026-08-01
Dizzying Footwork,Into the Accordlands,Standard,,0.35,Dizzying Footwork [Into the Accordlands],19,https://gamersguildazcards.com/collections/warlord-tcg-singles?page=19,Direct collection listing,2026-08-01
Doo'run,Into the Accordlands,Standard,,0.75,Doo'run [Into the Accordlands],9,https://gamersguildazcards.com/collections/warlord-tcg-singles?page=9,Direct collection listing,2026-08-01
Dragon's Blood,Into the Accordlands,Standard,,0.35,Dragon's Blood [Into the Accordlands],16,https://gamersguildazcards.com/collections/warlord-tcg-singles?page=16,Direct collection listing,2026-08-01
Draljaca Tar,Into the Accordlands,Standard,,0.35,Draljaca Tar [Into the Accordlands],16,https://gamersguildazcards.com/collections/warlord-tcg-singles?page=16,Direct collection listing,2026-08-01
Dreadfang,Into the Accordlands,Standard,,1.5,Dreadfang [Into the Accordlands],1,https://gamersguildazcards.com/collections/warlord-tcg-singles?page=1,Direct collection listing,2026-08-01
Dress,Into the Accordlands,Standard,,0.35,Dress [Into the Accordlands],15,https://gamersguildazcards.com/collections/warlord-tcg-singles?page=15,Direct collection listing,2026-08-01
Duke Richter,Into the Accordlands,Standard,,70.0,Duke Richter [Into the Accordlands],2,https://gamersguildazcards.com/collections/warlord-tcg-singles?page=2,Direct collection listing,2026-08-01
Dupe,Into the Accordlands,Standard,,1.5,Dupe [Into the Accordlands],2,https://gamersguildazcards.com/collections/warlord-tcg-singles?page=2,Direct collection listing,2026-08-01
Durga,Box of Greed,Standard,,0.35,Durga [Box of Greed],17,https://gamersguildazcards.com/collections/warlord-tcg-singles?page=17,Direct collection listing,2026-08-01
Dwarf-Eater,Into the Accordlands,Standard,,0.75,Dwarf-Eater [Into the Accordlands],5,https://gamersguildazcards.com/collections/warlord-tcg-singles?page=5,Direct collection listing,2026-08-01
Eager Blade,Into the Accordlands,Standard,,0.35,Eager Blade [Into the Accordlands],11,https://gamersguildazcards.com/collections/warlord-tcg-singles?page=11,Direct collection listing,2026-08-01
Eager Novice,Into the Accordlands,Standard,,0.35,Eager Novice [Into the Accordlands],19,https://gamersguildazcards.com/collections/warlord-tcg-singles?page=19,Direct collection listing,2026-08-01
Earthen Embrace,Into the Accordlands,Extended,,1.5,Earthen Embrace (Extended Art) [Into the Accordlands],17,https://gamersguildazcards.com/collections/warlord-tcg-singles?page=17,Direct collection listing,2026-08-01
Earthen Embrace,Into the Accordlands,Standard,,1.5,Earthen Embrace [Into the Accordlands],11,https://gamersguildazcards.com/collections/warlord-tcg-singles?page=11,Direct collection listing,2026-08-01
Efrim Dawntreader,Into the Accordlands,Extended,,10.0,Efrim Dawntreader (Extended Art) [Into the Accordlands],16,https://gamersguildazcards.com/collections/warlord-tcg-singles?page=16,Direct collection listing,2026-08-01
